rho,V_eff,lambda_1,lambda_2,lambda_3
0.000000,8.123005,0.995380,3.994964,9.038179
0.005025,7.348342,0.995656,3.996197,9.039650
0.010050,6.629747,0.995928,3.997427,9.041116
0.015075,5.964319,0.996196,3.998654,9.042579
0.020101,5.349258,0.996460,3.999879,9.044038
0.025126,4.781867,0.996721,4.001100,9.045492
0.030151,4.259545,0.996978,4.002318,9.046943
0.035176,3.779788,0.997231,4.003534,9.048390
0.040201,3.340185,0.997481,4.004746,9.049833
0.045226,2.938419,0.997728,4.005955,9.051272
0.050251,2.572260,0.997970,4.007162,9.052708
0.055276,2.239566,0.998209,4.008365,9.054139
0.060302,1.938282,0.998444,4.009566,9.055566
0.065327,1.666433,0.998676,4.010763,9.056990
0.070352,1.422128,0.998904,4.011957,9.058409
0.075377,1.203555,0.999128,4.013149,9.059825
0.080402,1.008978,0.999349,4.014337,9.061236
0.085427,0.836736,0.999566,4.015523,9.062644
0.090452,0.685244,0.999780,4.016705,9.064048
0.095477,0.552985,0.999989,4.017885,9.065448
0.100503,0.438514,1.000196,4.019061,9.066844
0.105528,0.340452,1.000398,4.020235,9.068236
0.110553,0.257487,1.000597,4.021405,9.069624
0.115578,0.188370,1.000792,4.022573,9.071009
0.120603,0.131914,1.000984,4.023737,9.072389
0.125628,0.086993,1.001172,4.024899,9.073765
0.130653,0.052540,1.001356,4.026058,9.075138
0.135678,0.027543,1.001537,4.027213,9.076507
0.140704,0.011047,1.001714,4.028366,9.077871
0.145729,0.002150,1.001887,4.029516,9.079232
0.150754,0.000000,1.002057,4.030662,9.080589
0.155779,0.003798,1.002223,4.031806,9.081942
0.160804,0.012791,1.002385,4.032947,9.083291
0.165829,0.026274,1.002544,4.034084,9.084636
0.170854,0.043588,1.002699,4.035219,9.085977
0.175879,0.064117,1.002851,4.036351,9.087314
0.180905,0.087286,1.002999,4.037479,9.088648
0.185930,0.112563,1.003143,4.038605,9.089977
0.190955,0.139454,1.003283,4.039728,9.091303
0.195980,0.167502,1.003420,4.040848,9.092624
0.201005,0.196288,1.003554,4.041965,9.093942
0.206030,0.225427,1.003683,4.043078,9.095256
0.211055,0.254568,1.003809,4.044189,9.096566
0.216080,0.283392,1.003932,4.045297,9.097872
0.221106,0.311610,1.004050,4.046402,9.099174
0.226131,0.338964,1.004165,4.047504,9.100472
0.231156,0.365223,1.004277,4.048603,9.101766
0.236181,0.390183,1.004385,4.049699,9.103056
0.241206,0.413667,1.004489,4.050792,9.104342
0.246231,0.435521,1.004589,4.051881,9.105625
0.251256,0.455614,1.004686,4.052968,9.106903
0.256281,0.473839,1.004780,4.054052,9.108178
0.261307,0.490108,1.004869,4.055133,9.109449
0.266332,0.504354,1.004955,4.056211,9.110715
0.271357,0.516527,1.005037,4.057286,9.111978
0.276382,0.526596,1.005116,4.058358,9.113237
0.281407,0.534547,1.005191,4.059427,9.114492
0.286432,0.540380,1.005262,4.060493,9.115743
0.291457,0.544110,1.005330,4.061556,9.116991
0.296482,0.545766,1.005394,4.062617,9.118234
0.301508,0.545389,1.005455,4.063674,9.119473
0.306533,0.543031,1.005511,4.064728,9.120709
0.311558,0.538755,1.005565,4.065779,9.121940
0.316583,0.532634,1.005614,4.066827,9.123168
0.321608,0.524750,1.005660,4.067872,9.124391
0.326633,0.515192,1.005702,4.068914,9.125611
0.331658,0.504056,1.005741,4.069953,9.126827
0.336683,0.491446,1.005776,4.070990,9.128039
0.341709,0.477470,1.005807,4.072023,9.129247
0.346734,0.462242,1.005835,4.073053,9.130451
0.351759,0.445878,1.005859,4.074080,9.131651
0.356784,0.428499,1.005879,4.075104,9.132848
0.361809,0.410228,1.005896,4.076126,9.134040
0.366834,0.391190,1.005909,4.077144,9.135228
0.371859,0.371511,1.005919,4.078159,9.136413
0.376884,0.351319,1.005924,4.079172,9.137593
0.381910,0.330740,1.005927,4.080181,9.138770
0.386935,0.309900,1.005925,4.081187,9.139943
0.391960,0.288926,1.005920,4.082191,9.141112
0.396985,0.267940,1.005911,4.083191,9.142277
0.402010,0.247064,1.005899,4.084188,9.143438
0.407035,0.226418,1.005883,4.085183,9.144595
0.412060,0.206116,1.005863,4.086174,9.145748
0.417085,0.186272,1.005840,4.087162,9.146897
0.422111,0.166994,1.005813,4.088148,9.148043
